"id","sleep_day","total_sleep_records","total_minutes_asleep","total_time_in_bed","total_hours_asleep","total_hours_in_bed"
1503960366,"4/12/2016 12:00:00 AM",1,327,346,5.45,5.77
1503960366,"4/13/2016 12:00:00 AM",2,384,407,6.4,6.78
1503960366,"4/15/2016 12:00:00 AM",1,412,442,6.87,7.37
1503960366,"4/16/2016 12:00:00 AM",2,340,367,5.67,6.12
1503960366,"4/17/2016 12:00:00 AM",1,700,712,11.67,11.87
1503960366,"4/19/2016 12:00:00 AM",1,304,320,5.07,5.33
1503960366,"4/20/2016 12:00:00 AM",1,360,377,6,6.28
1503960366,"4/21/2016 12:00:00 AM",1,325,364,5.42,6.07
1503960366,"4/23/2016 12:00:00 AM",1,361,384,6.02,6.4
1503960366,"4/24/2016 12:00:00 AM",1,430,449,7.17,7.48
1503960366,"4/25/2016 12:00:00 AM",1,277,323,4.62,5.38
1503960366,"4/26/2016 12:00:00 AM",1,245,274,4.08,4.57
1503960366,"4/28/2016 12:00:00 AM",1,366,393,6.1,6.55
1503960366,"4/29/2016 12:00:00 AM",1,341,354,5.68,5.9
1503960366,"4/30/2016 12:00:00 AM",1,404,425,6.73,7.08
1503960366,"5/1/2016 12:00:00 AM",1,369,396,6.15,6.6
1503960366,"5/2/2016 12:00:00 AM",1,277,309,4.62,5.15
1503960366,"5/3/2016 12:00:00 AM",1,273,296,4.55,4.93
1503960366,"5/5/2016 12:00:00 AM",1,247,264,4.12,4.4
1503960366,"5/6/2016 12:00:00 AM",1,334,367,5.57,6.12
1503960366,"5/7/2016 12:00:00 AM",1,331,349,5.52,5.82
1503960366,"5/8/2016 12:00:00 AM",1,594,611,9.9,10.18
1503960366,"5/9/2016 12:00:00 AM",1,338,342,5.63,5.7
1503960366,"5/10/2016 12:00:00 AM",1,383,403,6.38,6.72
1503960366,"5/11/2016 12:00:00 AM",1,285,306,4.75,5.1
1644430081,"4/29/2016 12:00:00 AM",1,119,127,1.98,2.12
1644430081,"4/30/2016 12:00:00 AM",1,124,142,2.07,2.37
1644430081,"5/2/2016 12:00:00 AM",1,796,961,13.27,16.02
1644430081,"5/8/2016 12:00:00 AM",1,137,154,2.28,2.57
1844505072,"4/15/2016 12:00:00 AM",1,644,961,10.73,16.02
1844505072,"4/30/2016 12:00:00 AM",1,722,961,12.03,16.02
1844505072,"5/1/2016 12:00:00 AM",1,590,961,9.83,16.02
1927972279,"4/12/2016 12:00:00 AM",3,750,775,12.5,12.92
1927972279,"4/13/2016 12:00:00 AM",1,398,422,6.63,7.03
1927972279,"4/15/2016 12:00:00 AM",2,475,499,7.92,8.32
1927972279,"4/26/2016 12:00:00 AM",1,296,315,4.93,5.25
1927972279,"4/28/2016 12:00:00 AM",1,166,178,2.77,2.97
2026352035,"4/12/2016 12:00:00 AM",1,503,546,8.38,9.1
2026352035,"4/13/2016 12:00:00 AM",1,531,565,8.85,9.42
2026352035,"4/14/2016 12:00:00 AM",1,545,568,9.08,9.47
2026352035,"4/15/2016 12:00:00 AM",1,523,573,8.72,9.55
2026352035,"4/16/2016 12:00:00 AM",1,524,567,8.73,9.45
2026352035,"4/17/2016 12:00:00 AM",1,437,498,7.28,8.3
2026352035,"4/19/2016 12:00:00 AM",1,498,540,8.3,9
2026352035,"4/20/2016 12:00:00 AM",1,461,510,7.68,8.5
2026352035,"4/21/2016 12:00:00 AM",1,477,514,7.95,8.57
2026352035,"4/22/2016 12:00:00 AM",1,520,545,8.67,9.08
2026352035,"4/23/2016 12:00:00 AM",1,522,554,8.7,9.23
2026352035,"4/24/2016 12:00:00 AM",1,555,591,9.25,9.85
2026352035,"4/25/2016 12:00:00 AM",1,506,531,8.43,8.85
2026352035,"4/27/2016 12:00:00 AM",1,508,545,8.47,9.08
2026352035,"4/28/2016 12:00:00 AM",1,513,545,8.55,9.08
2026352035,"4/29/2016 12:00:00 AM",1,490,510,8.17,8.5
2026352035,"4/30/2016 12:00:00 AM",1,573,607,9.55,10.12
2026352035,"5/1/2016 12:00:00 AM",1,527,546,8.78,9.1
2026352035,"5/2/2016 12:00:00 AM",1,511,543,8.52,9.05
2026352035,"5/4/2016 12:00:00 AM",1,538,560,8.97,9.33
2026352035,"5/5/2016 12:00:00 AM",1,468,485,7.8,8.08
2026352035,"5/6/2016 12:00:00 AM",1,524,548,8.73,9.13
2026352035,"5/7/2016 12:00:00 AM",1,511,521,8.52,8.68
2026352035,"5/8/2016 12:00:00 AM",1,541,568,9.02,9.47
2026352035,"5/9/2016 12:00:00 AM",1,531,556,8.85,9.27
2026352035,"5/10/2016 12:00:00 AM",1,357,380,5.95,6.33
2026352035,"5/11/2016 12:00:00 AM",1,523,553,8.72,9.22
2026352035,"5/12/2016 12:00:00 AM",1,456,485,7.6,8.08
2320127002,"4/23/2016 12:00:00 AM",1,61,69,1.02,1.15
2347167796,"4/13/2016 12:00:00 AM",1,467,531,7.78,8.85
2347167796,"4/14/2016 12:00:00 AM",1,445,489,7.42,8.15
2347167796,"4/15/2016 12:00:00 AM",1,452,504,7.53,8.4
2347167796,"4/17/2016 12:00:00 AM",1,556,602,9.27,10.03
2347167796,"4/18/2016 12:00:00 AM",1,500,557,8.33,9.28
2347167796,"4/19/2016 12:00:00 AM",1,465,514,7.75,8.57
2347167796,"4/21/2016 12:00:00 AM",1,460,484,7.67,8.07
2347167796,"4/22/2016 12:00:00 AM",1,405,461,6.75,7.68
2347167796,"4/23/2016 12:00:00 AM",1,374,386,6.23,6.43
2347167796,"4/24/2016 12:00:00 AM",1,442,459,7.37,7.65
2347167796,"4/25/2016 12:00:00 AM",1,433,471,7.22,7.85
2347167796,"4/26/2016 12:00:00 AM",1,436,490,7.27,8.17
2347167796,"4/27/2016 12:00:00 AM",1,448,499,7.47,8.32
2347167796,"4/28/2016 12:00:00 AM",1,408,450,6.8,7.5
2347167796,"4/29/2016 12:00:00 AM",1,411,473,6.85,7.88
3977333714,"4/12/2016 12:00:00 AM",1,274,469,4.57,7.82
3977333714,"4/13/2016 12:00:00 AM",2,295,456,4.92,7.6
3977333714,"4/14/2016 12:00:00 AM",1,291,397,4.85,6.62
3977333714,"4/15/2016 12:00:00 AM",1,424,556,7.07,9.27
3977333714,"4/16/2016 12:00:00 AM",1,283,510,4.72,8.5
3977333714,"4/17/2016 12:00:00 AM",1,381,566,6.35,9.43
3977333714,"4/18/2016 12:00:00 AM",2,412,522,6.87,8.7
3977333714,"4/19/2016 12:00:00 AM",1,219,395,3.65,6.58
3977333714,"4/20/2016 12:00:00 AM",2,152,305,2.53,5.08
3977333714,"4/21/2016 12:00:00 AM",1,332,512,5.53,8.53
3977333714,"4/22/2016 12:00:00 AM",1,355,476,5.92,7.93
3977333714,"4/23/2016 12:00:00 AM",1,235,372,3.92,6.2
3977333714,"4/24/2016 12:00:00 AM",1,310,526,5.17,8.77
3977333714,"4/25/2016 12:00:00 AM",1,262,467,4.37,7.78
3977333714,"4/26/2016 12:00:00 AM",1,250,371,4.17,6.18
3977333714,"4/27/2016 12:00:00 AM",1,349,540,5.82,9
3977333714,"4/28/2016 12:00:00 AM",1,261,423,4.35,7.05
3977333714,"4/29/2016 12:00:00 AM",1,333,478,5.55,7.97
3977333714,"4/30/2016 12:00:00 AM",1,237,382,3.95,6.37
3977333714,"5/1/2016 12:00:00 AM",1,383,626,6.38,10.43
3977333714,"5/2/2016 12:00:00 AM",1,230,384,3.83,6.4
3977333714,"5/3/2016 12:00:00 AM",1,292,500,4.87,8.33
3977333714,"5/4/2016 12:00:00 AM",1,213,336,3.55,5.6
3977333714,"5/5/2016 12:00:00 AM",1,318,480,5.3,8
