id,activity_date,total_steps,total_distance,very_active_distance,moderately_active_distance,light_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories
1503960366,2016-05-12,0,0,0,0,0,0,0,0,1440,0
1624580081,2016-05-12,2971,1.9299999475479126,0,0,1.9199999570846558,0,0,107,890,1002
1844505072,2016-05-12,0,0,0,0,0,0,0,0,711,665
1927972279,2016-05-12,0,0,0,0,0,0,0,0,966,1383
2022484408,2016-05-12,9117,6.4099998474121094,1.2799999713897705,0.67000001668930054,4.440000057220459,16,16,236,728,1853
2026352035,2016-05-12,8891,5.5100002288818359,0,0,5.5100002288818359,0,0,343,330,1364
2320127002,2016-05-12,2661,1.7899999618530273,0,0,1.7899999618530273,0,0,128,830,1125
2873212765,2016-05-12,7566,5.1100001335144043,0,0,5.1100001335144043,0,0,268,720,1431
4020332650,2016-05-12,590,0.41999998688697815,0,0,0.40999999642372131,0,0,21,721,1120
4319703577,2016-05-12,17,9.9999997764825821E-3,0,0,9.9999997764825821E-3,0,0,2,0,257
4388161847,2016-05-12,3369,2.5899999141693115,0,0,2.5899999141693115,0,0,108,825,1623
4445114986,2016-05-12,768,0.51999998092651367,0,0,0.51999998092651367,0,0,58,380,1212
4558609924,2016-05-12,6307,4.1700000762939453,0,0,4.1700000762939453,0,0,247,736,1452
4702921684,2016-05-12,2752,2.2300000190734863,0,0,2.2300000190734863,0,0,68,241,1240
5553957443,2016-05-12,3121,2.0399999618530273,0.57999998331069946,0.40000000596046448,1.059999942779541,8,6,48,222,741
6962181067,2016-05-12,3587,2.369999885559082,0,0.25,2.1099998950958252,0,8,105,127,928
7086361926,2016-05-12,3789,2.559999942779541,0.37999999523162842,0.27000001072883606,1.8899999856948853,5,4,58,343,1199
8053475328,2016-05-12,4998,3.9100000858306885,2.9500000476837158,0.20000000298023224,0.75999999046325684,28,4,39,839,1505
8378563200,2016-05-12,4561,3.619999885559082,0.64999997615814209,0.27000001072883606,2.690000057220459,8,6,102,433,1976
8583815059,2016-05-12,0,0,0,0,0,0,0,0,1440,0
8877689391,2016-05-12,8064,6.119999885559082,1.8200000524520874,3.9999999105930328E-2,4.25,23,1,137,770,1849
1503960366,2016-05-11,12770,8.130000114440918,2.559999942779541,1.0099999904632568,4.5500001907348633,36,23,251,669,1783
1624580081,2016-05-11,3134,2.0399999618530273,0,0,2.0399999618530273,0,0,112,1328,1359
1644430081,2016-05-11,1329,0.97000002861022949,0,0,0.94999998807907104,0,0,49,713,1276
1844505072,2016-05-11,0,0,0,0,0,0,0,0,1440,1347
1927972279,2016-05-11,0,0,0,0,0,0,0,0,1440,2063
2022484408,2016-05-11,13272,9.3199996948242188,4.179999828338623,1.1499999761581421,3.9900000095367432,58,25,224,1133,2544
2026352035,2016-05-11,8580,5.320000171661377,0,0,5.320000171661377,0,0,330,569,1698
2320127002,2016-05-11,6424,4.3299999237060547,0,0,4.3299999237060547,0,0,300,1140,1903
2873212765,2016-05-11,6440,4.3299999237060547,0,0,4.320000171661377,0,0,319,1121,1826
3977333714,2016-05-11,746,0.5,0.37000000476837158,0,0.12999999523162842,4,0,9,13,52
4020332650,2016-05-11,3689,2.6500000953674316,0.10999999940395355,0.17000000178813934,2.3299999237060547,2,8,134,1296,2645
4319703577,2016-05-11,9129,6.130000114440918,0.20000000298023224,0.74000000953674316,5.179999828338623,3,18,311,574,2232
4388161847,2016-05-11,10201,7.8400001525878906,0.52999997138977051,0.79000002145767212,6.5300002098083496,8,18,256,858,2954
4445114986,2016-05-11,9105,6.1100001335144043,2.25,1,2.8599998950958252,34,22,232,622,2499
4558609924,2016-05-11,9108,6.0199999809265137,0.25999999046325684,1.8200000524520874,3.940000057220459,4,31,324,1081,2131
